drewex - 29.06.2015 1:10    [u mnie /10]
herkules - 22.06.2012 5:1 ()scalenie)   [u mnie /5]
cig - 31.01.2017  1:10    [u mnie /0.1  ]
13.01.2017	RESBUD	1/5   [u mnie 0.0833]


29.07.2016	RESBUD	4
25.09.2014	RESBUD	4





http://bossa.pl/analizy/splity/
Splity
data	WALOR	1:
24.01.1995	ELEKTRIM	10
21.09.1994	KRAKCHEM	10
13.09.1994	POLIFARBW	4
12.09.1994	WBK	8
17.08.1994	POLIFARBC	5
09.08.1994	OPTIMUS	4
09.08.1994	OPTIMUS2	4
18.07.1994	RAFAKO	4
04.07.1994	BRE	5
30.05.1994	IRENA	5
26.05.1994	SOKOLOW	10
06.05.1994	MOSTALEXP	10
08.04.1994	MOSTALWAR	10
28.02.1994	VISTULA	5
02.12.1993	EXBUD	5
25.11.1993	ELEKTRIM	2
14.06.1993	MOSTALEXP	2
